alpha,beta,value
0,0,0
0,5,0
0,10,0
0,15,0
0,20,0.000000
0,25,0.000000
0,30,0.000000
0,35,0.000000
0,40,0.000000
0,45,0.000000
5,0,0.000000
5,5,0.002480
5,10,0.003470
5,15,-0.002570
5,20,0.000480
5,25,0.001270
5,30,-0.000690
5,35,0.004170
5,40,-0.002990
5,45,0.004670
10,0,0.000000
10,5,0.004990
10,10,0.005370
10,15,-0.002510
10,20,0.000610
10,25,0.003220
10,30,0.005370
10,35,0.011800
10,40,0.009660
10,45,0.013020
15,0,0.000000
15,5,0.008000
15,10,0.007760
15,15,-0.000470
15,20,0.002070
15,25,0.007140
15,30,0.013020
15,35,0.020040
15,40,0.019610
15,45,0.023820
