alpha,beta,value
0,0,0
0,5,0
0,10,0
0,15,0
0,20,0
0,25,0
0,30,0
0,35,0
0,40,0
0,45,0
3,0,0.1388
3,5,0.1362
3,10,0.132
3,15,0.1144
3,20,0.0961
3,25,0.078
3,30,0.055
3,35,0.0333
3,40,0.0161
3,45,0.0355
6,0,0.2729
6,5,0.2681
6,10,0.2567
6,15,0.2272
6,20,0.1926
6,25,0.1576
6,30,0.1096
6,35,0.076
6,40,0.0465
6,45,0.0711
9,0,0.3982
9,5,0.3917
9,10,0.374
9,15,0.3339
9,20,0.2886
9,25,0.2342
9,30,0.1709
9,35,0.1185
9,40,0.0827
9,45,0.1093
12,0,0.5075
12,5,0.5013
12,10,0.4827
12,15,0.4343
12,20,0.3753
12,25,0.306
12,30,0.2293
12,35,0.1615
12,40,0.1236
12,45,0.1462
15,0,0.5992
15,5,0.5932
15,10,0.5751
15,15,0.5193
15,20,0.4392
15,25,0.368
15,30,0.2757
15,35,0.2105
15,40,0.1796
15,45,0.1964
