alpha,beta,value
0,0,0
0,5,-0.0426
0,10,-0.0632
0,15,-0.0406
0,20,0.0313
0,25,0.113
0,30,0.1952
0,35,0.284
0,40,0.3654
0,45,0.4552
3,0,0
3,5,-0.0397
3,10,-0.0582
3,15,-0.0391
3,20,0.0229
3,25,0.101
3,30,0.1923
3,35,0.2729
3,40,0.3594
3,45,0.443
6,0,0
6,5,-0.0354
6,10,-0.0545
6,15,-0.0428
6,20,0.0128
6,25,0.0904
6,30,0.1752
6,35,0.2651
6,40,0.3499
6,45,0.4266
9,0,0
9,5,-0.0305
9,10,-0.0568
9,15,-0.0686
9,20,-0.0024
9,25,0.0742
9,30,0.165
9,35,0.2489
9,40,0.336
9,45,0.4023
12,0,0
12,5,-0.0275
12,10,-0.0659
12,15,-0.0936
12,20,-0.0297
12,25,0.0449
12,30,0.1265
12,35,0.2301
12,40,0.3084
12,45,0.3623
15,0,0
15,5,-0.0357
15,10,-0.0927
15,15,-0.1272
15,20,-0.073
15,25,0.0158
15,30,0.0974
15,35,0.1844
15,40,0.2782
15,45,0.333
