alpha,beta,value
0,0,0.041700
0,5,0.043600
0,10,0.046900
0,15,0.056700
0,20,0.066600
0,25,0.073100
0,30,0.075900
0,35,0.082800
0,40,0.051000
0,45,-0.044700
5,0,0.042400
5,5,0.044000
5,10,0.048300
5,15,0.058800
5,20,0.068000
5,25,0.073000
5,30,0.075800
5,35,0.078300
5,40,0.039600
5,45,-0.055500
10,0,0.044500
10,5,0.045000
10,10,0.051800
10,15,0.063200
10,20,0.068300
10,25,0.071500
10,30,0.073800
10,35,0.072800
10,40,0.024100
10,45,-0.053800
15,0,0.046800
15,5,0.046400
15,10,0.055400
15,15,0.066400
15,20,0.069300
15,25,0.069000
15,30,0.066900
15,35,0.058200
15,40,0.011300
15,45,-0.071400
