alpha,beta,value
0,0,0
0,5,0.1411
0,10,0.2978
0,15,0.4819
0,20,0.6988
0,25,0.9288
0,30,1.1696
0,35,1.4154
0,40,1.6693
0,45,1.9088
3,0,0
3,5,0.1423
3,10,0.2998
3,15,0.4819
3,20,0.6936
3,25,0.9222
3,30,1.1697
3,35,1.4131
3,40,1.6647
3,45,1.9003
6,0,0
6,5,0.1445
6,10,0.3008
6,15,0.4783
6,20,0.6859
6,25,0.9129
6,30,1.1539
6,35,1.4045
6,40,1.6544
6,45,1.8869
9,0,0
9,5,0.1468
9,10,0.2983
9,15,0.4633
9,20,0.6746
9,25,0.9
9,30,1.1405
9,35,1.3886
9,40,1.6383
9,45,1.865
12,0,0
12,5,0.1482
12,10,0.2936
12,15,0.4482
12,20,0.6583
12,25,0.8794
12,30,1.1148
12,35,1.369
12,40,1.6123
12,45,1.8321
15,0,0
15,5,0.1436
15,10,0.2792
15,15,0.429
15,20,0.6293
15,25,0.8583
15,30,1.0901
15,35,1.3332
15,40,1.5821
15,45,1.8003
