alpha,beta,value
0,0,0.000000
0,5,0.000000
0,10,0.000000
0,15,0.000000
0,20,0.000000
0,25,0.000000
0,30,0.000000
0,35,0.000000
0,40,0.000000
0,45,0.000000
5,0,0.043700
5,5,0.044800
5,10,0.048500
5,15,0.058600
5,20,0.062300
5,25,0.068300
5,30,0.079500
5,35,0.078300
5,40,0.111400
5,45,0.088700
10,0,0.100600
10,5,0.101700
10,10,0.110400
10,15,0.125500
10,20,0.128700
10,25,0.134700
10,30,0.149300
10,35,0.149800
10,40,0.165300
10,45,0.168900
15,0,0.178800
15,5,0.180200
15,10,0.187800
15,15,0.200100
15,20,0.200400
15,25,0.209800
15,30,0.219100
15,35,0.226700
15,40,0.245200
15,45,0.242400
